,precision,recall,f1-score,support
Billing and Payments,0.9705882352941176,0.5454545454545454,0.6984126984126984,242.0
Customer Service,0.23809523809523808,0.04201680672268908,0.07142857142857142,357.0
General Inquiry,0.0,0.0,0.0,34.0
Human Resources,1.0,0.021739130434782608,0.0425531914893617,46.0
IT Support,0.0,0.0,0.0,283.0
Product Support,0.2833333333333333,0.038288288288288286,0.06746031746031746,444.0
Returns and Exchanges,1.0,0.03418803418803419,0.06611570247933884,117.0
Sales and Pre-Sales,1.0,0.013888888888888888,0.0273972602739726,72.0
Service Outages and Maintenance,0.8611111111111112,0.32978723404255317,0.47692307692307695,94.0
Technical Support,0.3264223722275796,0.9868804664723032,0.4905797101449275,686.0
accuracy,0.3696842105263158,0.3696842105263158,0.3696842105263158,0.3696842105263158
macro avg,0.567955029006138,0.2012243394492085,0.1940870528612265,2375.0
weighted avg,0.4149694925194697,0.3696842105263158,0.26000096467232114,2375.0
